project,mode,city,year,mode_full,length_miles,at_grade_miles,elevated_miles,below_grade_miles,tunnel_miles,tunnel_pct,project_cost,cost_per_mile,hard_costs_row,hard_costs,soft_costs,soft_hard_pct,vehicles,avg_cost_per_vehicle,stations,avg_cost_per_station,vehicle_costs,row_costs,systems_costs,sitework_costs,facilities_costs,station_costs,guideway_costs,soft_costs_pct,vehicle_costs_pct,row_costs_pct,systems_costs_pct,sitework_costs_pct,facilities_costs_pct,station_costs_pct,guideway_costs_pct,soft_costs_per_mile,row_costs_per_mile,system_costs_per_mile,sitework_costs_per_mile,facility_costs_per_mile,guideway_costs_per_mile,length_km,at_grade_km,elevated_km,below_grade_km,tunnel_km,cost_per_km,soft_costs_per_km,row_costs_per_km,system_costs_per_km,sitework_costs_per_km,facility_costs_per_km,guideway_costs_per_km,vehicle_costs_per_km,row_costs_per_km_direct,systems_costs_per_km,sitework_costs_per_km_direct,facilities_costs_per_km,station_costs_per_km,guideway_costs_per_km_direct,soft_costs_per_km_direct,hard_costs_per_km,project_cost_2023,cost_per_mile_2023,hard_costs_+_row_2023,hard_costs_2023,soft_costs_2023,avg_cost_per_vehicle_2023,avg_cost_per_station_2023,vehicle_costs_2023,row_costs_2023,systems_costs_2023,sitework_costs_2023,facilities_costs_2023,station_costs_2023,guideway_costs_2023,soft_costs_per_mile_2023,row_costs_per_mile_2023,system_costs_per_mile_2023,sitework_costs_per_mile_2023,facility_costs_per_mile_2023,guideway_costs_per_mile_2023,cost_per_km_2023,soft_costs_per_km_2023,row_costs_per_km_2023,system_costs_per_km_2023,sitework_costs_per_km_2023,facility_costs_per_km_2023,guideway_costs_per_km_2023,vehicle_costs_per_km_2023,row_costs_per_km_direct_2023,systems_costs_per_km_2023,sitework_costs_per_km_direct_2023,facilities_costs_per_km_2023,station_costs_per_km_2023,guideway_costs_per_km_direct_2023,soft_costs_per_km_direct_2023,hard_costs_per_km_2023
Sacramento - South Corridor,LRT,"Sacramento, CA",2002,Light Rail Transit,6.3,6.18,0.12,0.0,0.0,0.0,337126232,53512100,189354268,159926729,56030067,0.35,24,3822579.0,6,5636929.0,91741897,29427539,40484735,11866752,0,33821572,73753671,0.17,0.27,0.09,0.12,0.04,,0.1,0.22,8893661,4671038,6426148,1883611,0,11706932,10.138842,9.9457212,0.19312079999999998,0.0,0.0,33250960.020878125,5526278.474405657,2902455.66505524,3993033.1688766824,1170424.521853679,0.0,7274368.374613196,9048557.71497376,2902455.6256030025,3993033.4253162243,1170424.7881562805,0.0,3335841.706577536,7274368.31543484,5526278.740708258,15773668.136854287,379093763.67444366,60173612.924678005,212926243.37799755,179835384.65423477,63005031.83021736,4298436.972572609,6338648.338037421,103162488.46622872,33090858.723762777,45524521.99125364,13343997.741093108,0.0,38031887.77925231,82934978.26712182,10000798.221286489,5252517.329136066,7226114.137712661,2118094.397615972,0.0,13164282.371716425,37390242.53711335,6214223.359443304,3263771.067105811,4490110.317094375,1316126.1123292604,0.0,8179926.163344244,10174977.425057882,3263771.0227423185,4490110.605457077,1316126.4117828356,0.0,3751107.649103548,8179926.096799005,6214223.658896879,17737270.652233735
South Corridor Light Rail Extension Phase 2,LRT,"Sacramento, CA",2013,Light Rail Transit,3.89,0.0,3.89,0.0,0.0,0.0,298556674,76749788,222037341,177729794,76519333,0.43,0,,4,4517135.0,0,44307547,42591866,74815484,0,18068542,42253903,0.26,,0.15,0.14,0.25,,0.06,0.14,19670780,11390115,10949066,19232772,0,10862186,6.2603326,0.0,6.2603326,0.0,0.0,47690225.8068525,12222886.400636286,7077506.928306013,6803451.104179353,11950720.171001777,0.0,6749466.240819218,0.0,7077506.872398441,6803450.985974771,11950720.317958826,0.0,2886195.2158899675,6749466.15456182,12222886.20895318,28389832.514649462,335722831.6092113,86304070.20399305,249677904.85065502,199854683.8815662,86044926.75855629,,5079455.544045466,0.0,49823220.96908882,47893961.52316492,84128972.23223235,0.0,20317824.425154075,47513926.82550097,22119518.79381481,12808026.057238808,12312072.584906077,21626984.883728825,0.0,12214377.23206259,53626996.28667221,13744465.926289542,7958558.202268512,7650386.23591415,13438418.782686582,0.0,7589681.007159823,0.0,7958558.1394012235,7650386.102994739,13438418.947937742,0.0,3245486.4179507135,7589680.910164578,13744465.710744552,31923972.199426945
Salt Lake City - North South Corridor,LRT,"Salt Lake City, UT",1998,Light Rail Transit,15.05,15.0,0.05,0.0,0.0,0.0,490313509,32578561,320406369,262866473,69747304,0.27,23,4354775.0,16,1547011.0,100159836,57539896,51674232,9000250,24236418,24752177,153203396,0.14,0.2,0.12,0.11,0.02,0.05,0.05,0.31,4634314,3823201,3433461,598016,1610373,10179500,24.220567000000003,24.1401,0.08046700000000001,0.0,0.0,20243429.604682665,2879636.3726745127,2375632.868132278,2133459.057750382,371590.8384803708,1000641.8780369592,6325263.772726708,4135321.687555869,2375662.6341571603,2133485.6446589376,371595.3470453437,1000654.443803896,1021948.7016963722,6325343.085485984,2879672.635244253,10853027.222690532,551350728.1961766,36634139.1808023,360292510.0455327,295589696.4831752,78429874.24219655,4896883.979960881,1739592.3745137837,112628343.90844741,64702813.56235745,58106955.89498468,10120656.070782743,27253515.28743403,27833479.116706643,172275090.11326712,5211221.701398678,4299136.402930213,3860879.1881831936,672460.6828505,1810842.0631287594,11446706.310661696,22763455.317585036,3238111.089886959,2671366.151919553,2399045.067035675,417848.73479221296,1125207.8884068993,7112671.225882472,4650111.779317446,2671399.6234009485,2399074.963644933,417853.80461088056,1125222.0184372244,1149167.115563671,7112760.411978263,3238151.866642781,12204078.314234972
Salt Lake City - Weber Co. Commuter Rail,CRT,"Salt Lake City, UT",2008,Commuter Rail Transit,44.0,43.62,0.38,0.0,0.0,0.0,681906351,15497872,534433234,460206695,43580671,0.09,54,1923934.0,8,3261166.0,103892446,74226539,68284616,169819755,9606187,26089327,186406810,0.06,0.15,0.11,0.1,0.25,0.01,0.04,0.27,990470,1686967,1551923,3859540,218322,4236518,70.81096,70.1994108,0.6115492,0.0,0.0,9629955.136888415,615451.0544695341,1048235.3014279145,964322.641579778,2398212.932009395,135659.33861085912,2632456.783526166,1467180.3065514152,1048235.1743289458,964322.6980682088,2398212.861398857,135659.6069309045,368436.28443958395,2632457.037724104,615450.9273705652,6499088.488561658,766794216.9332472,17427141.728397977,600962745.9359634,517496034.17311877,49005859.00668708,2163437.050846957,3667135.854640735,116825611.99059674,83466711.76284459,76785101.90955456,190959954.93231723,10802023.808074694,29337085.71263977,209611867.8105325,1113769.7528877736,1896970.9518913531,1745115.8502638666,4339999.103516994,245500.05551906113,4763905.626585969,10828750.747758694,692066.1593496548,1178726.031721919,1084367.4116494132,2696757.1200100626,152547.0413455585,2960161.0763331354,1649823.868940581,1178725.8888008946,1084367.4751698687,2696757.040609494,152547.34306772138,414301.4826043846,2960161.362175185,692066.0164286303,7308134.703626653
Salt Lake City - Mid Jordan LRT,LRT,"Salt Lake City, UT",2011,Light Rail Transit,10.6,10.4,0.2,0.0,0.0,0.0,578868132,54610201,391069751,324351187,58824235,0.18,28,4606220.0,10,1625685.0,128974147,66718564,87413957,148484948,15092461,16256852,57102969,0.1,0.22,0.12,0.15,0.26,0.03,0.03,0.1,5549456,6294204,8246600,14008014,1423817,5387073,17.059003999999998,16.737136,0.32186800000000004,0.0,0.0,33933290.04436602,3448280.66163769,3911046.7645121603,5124212.410056297,8704197.994208805,884721.0657785179,3347380.2925422844,7560473.460232497,3911046.858304272,5124212.234196088,8704197.97076078,884721.1126745736,952977.7940142344,3347380.0111659514,3448280.7437057877,19013489.122811627,650929171.3350703,61408412.241583936,439752501.27025867,364728403.0751522,66147034.922574446,5179630.388751522,1828060.194375761,145029636.26672325,75024098.19510646,98295780.0709082,166969260.8978706,16971262.69189209,18280604.19272982,64211495.22175148,6240286.164933387,7077744.943012141,9273187.117393069,15751817.108270288,1601062.4332361515,6057688.737668376,38157513.1678725,3877543.691782586,4397917.744548785,5762105.656600264,9787749.703773152,994856.5456871459,3764082.628697712,8501647.356828291,4397917.850016711,5762105.458847904,9787749.677406173,994856.5984211089,1071610.288193251,3764082.312293935,3877543.7840670217,21380404.33516237
Draper Light Rail Line,LRT,"Salt Lake City, UT",2012,Light Rail Transit,3.8,3.71,0.0,0.09,0.0,0.0,167373790,44045734,126086062,113019915,18522584,0.16,5,4553029.0,3,1509946.0,22765143,13066147,30560455,63137896,0,4529839,14791725,0.11,0.14,0.08,0.18,0.38,,0.03,0.09,4874364,3438460,8042225,16615236,0,3892559,6.115492,5.9706513999999995,0.0,0.14484059999999999,0.0,27368818.27332944,3028796.8981072986,2136565.3000608943,4997219.357003492,10324254.663402388,0.0,2418730.0384008354,3722536.6331932084,2136565.1365417535,4997219.357003492,10324254.532587076,0.0,740715.3831613221,2418730.169216148,3028797.028922612,18480919.44196804,188209501.2753441,49528815.88835664,141782024.81279844,127089324.05923164,20828388.345455214,5119817.848315312,1697913.2970144295,25599086.992604345,14692700.753566815,34364807.024430744,70997686.78079492,0.0,5093741.015529394,16633089.238476582,5481154.591017456,3866500.4942244524,9043370.269587038,18683602.021153633,0.0,4377128.510233605,30775855.871572595,3405840.0282211686,2402537.9933540784,5619303.732950799,11609480.918360092,0.0,2719828.3210717468,4185940.721139746,2402537.8094790764,5619303.732950799,11609480.77126009,0.0,832924.1564749646,2719828.4681717483,3405840.1753211706,20781537.128857605
San Diego - Mission Valley East,LRT,"San Diego, CA",2003,Light Rail Transit,5.49,0.0,3.44,2.05,0.62,0.11,742242977,135284025,507348920,457659446,177138274,0.39,11,5250526.0,4,24725940.0,57755783,49689474,45167260,76231697,0,98903758,237356730,0.24,0.08,0.07,0.06,0.1,,0.13,0.32,32285895,9056592,8232356,13894279,0,43261539,8.8352766,0.0,5.5361296,3.2991469999999996,0.9977908,84061804.83925088,20061574.931338314,5627519.355760747,5115361.576795457,8633526.166005941,0.0,26881540.880112343,6536952.4480987955,5623986.237171114,5112150.082545237,8628105.315910539,0.0,11194189.21191443,26864663.184398778,20048978.885392223,51799107.90795163,834641914.521364,152125006.40495256,570506811.1666974,514631688.0654389,199189527.86045685,5904143.5334243635,27803975.97475735,64945575.494209684,55875123.101258434,50789956.292283274,85721484.07312247,0.0,111215901.6500572,266904344.92548987,36305040.33025796,10184011.866937298,9257169.937306711,15623923.681064323,0.0,48646999.5068753,94526331.54271476,22558962.264193993,6328067.323832937,5752153.017576592,9708280.214910662,0.0,30227919.2133889,7350712.200024353,6324094.381069907,5748541.736914413,9702184.54429853,0.0,12587710.23083275,30208940.479066595,22544798.185543716,58247377.11838461
San Francisco BART - SFO Extension,HRT,"San Francisco, CA",2003,Heavy Rail Transit,8.61,1.51,1.37,5.73,5.73,0.67,2252562096,261712573,1819792982,1485664135,432769115,0.29,0,,6,79881565.0,0,334128847,236783930,17288911,102616541,479289393,649685361,0.19,,0.15,0.11,0.01,0.05,0.21,0.29,50281019,38820559,27510599,2008702,11922441,75483303,13.8564174,2.4301034,2.2047958000000003,9.2215182,9.2215182,162621057.70067233,31243254.37757093,24122036.984105285,17094336.18750544,1248152.6588539402,7408279.7917158585,46903266.55647657,0.0,24113653.432524342,17088394.72459887,1247718.6924233388,7405705.099501405,34589705.20042215,46886965.241101936,31232395.972713698,107218488.88587898,2532974778.666981,294292151.96607,2046331923.0961506,1670608677.20696,486642856.6953168,,89825709.92593275,0.0,375723245.8891907,266260239.284275,19441140.19825811,115390874.5461933,538954262.9290549,730562161.373665,56540307.23452042,43653179.20219212,30935286.328737497,2258757.4890356865,13406619.24782079,84879925.41870317,182865119.84171775,35132605.43733482,27124895.424330547,19222343.525132973,1403530.3223903505,8330507.691240379,52742071.54405109,0.0,27115468.23706326,19215662.432648353,1403042.3331688975,8327612.485619356,38895642.89027948,52723740.941411376,35120395.31194527,120565701.00197473
Santa Clara VTA - North Corridor,LRT,"San Jose, CA",1986,Light Rail Transit,15.58,15.58,0.0,0.0,0.0,0.0,838931838,53853525,484289961,349257402,217151798,0.62,50,2749802.0,22,552234.0,137490079,135032559,82047516,39525524,52639226,12149148,162895989,0.26,0.16,0.16,0.1,0.05,0.06,0.01,0.19,13939618,8668141,5266874,2537261,3379068,10456777,25.0735172,25.0735172,0.0,0.0,0.0,33463112.207488783,8661698.584512906,5386146.494836393,3272691.910969714,1576584.8111648252,2099660.730485789,6497556.141026757,5483477.962158416,5385465.386563318,3272277.8916712967,1576385.3026571,2099395.3732187203,484541.03598995676,6496734.690257177,8660603.78637266,13929334.253911532,943367195.2698674,60557540.5932391,544577332.1645274,392735095.7825737,244184179.6294645,3092114.1418016753,620979.4599697383,154605683.47587556,151842236.38195372,92261291.73056795,44445902.54953685,59192078.239849426,13661548.119334243,183174276.26777133,15674906.75660036,9747204.114780232,5922526.632276636,2853114.740458353,3799715.0154482042,11758500.444528913,37628804.72320274,9739959.708079312,6056646.895485251,3680096.5813790965,1772847.71425451,2361039.317638413,7306411.600114901,6166094.778114159,6055880.998695855,3679631.0224306285,1772623.3697096491,2360740.9270786084,544859.6625021655,7305487.890138178,9738728.622782309,15663342.827011667
Santa Clara VTA - Tasman West,LRT,"San Jose, CA",1999,Light Rail Transit,7.46,7.11,0.0,0.36,0.0,0.0,585304502,78436745,321510205,261432574,215945841,0.83,10,4784846.0,11,1446170.0,47848455,60077631,40694153,21651209,0,15907866,183179347,0.37,0.08,0.1,0.07,0.04,,0.03,0.31,28938935,8051012,5453430,2901482,0,24547892,12.0056764,11.4424074,0.0,0.5793623999999999,0.0,48738454.89455305,17981865.236680876,5002679.359240434,3388612.7232281556,1802901.8106801547,0.0,15253390.831023898,3985485.982280848,5004102.142883011,3389576.0342166144,1803414.3415692928,0.0,1325028.717249117,15257728.169318305,17986978.30969357,21775747.179059397,658166779.969753,88201029.91102335,361533758.2902535,293977296.9810237,242828097.73916668,5380492.843827729,1626198.0711517879,53804922.81584677,67556461.30922979,45760009.62248957,24346483.687190462,0.0,17888174.284725245,205982630.51110452,32541430.31468428,9053251.128995828,6132306.262169243,3262676.1942798095,0.0,27603763.472650107,54805715.33114405,20220357.609134354,5625443.429602091,3810447.92409885,2027338.0356418218,0.0,17152226.05083457,4481623.610631947,5627043.330039263,3811531.153920621,2027914.3695052832,0.0,1489976.3818992525,17157103.327481367,20226107.188693397,24486525.139143653
"San Juan, PR - Tren Urbano",HRT,"San Juan, PR",2002,Heavy Rail Transit,10.69,4.28,5.56,0.85,0.83,0.08,3360928202,314472814,2318245187,2318245187,790365636,0.34,74,3409694.0,16,57261787.0,252317379,0,291656806,16806385,253043030,916188593,840550373,0.24,0.08,,0.09,0.01,0.08,0.27,0.25,73952340,0,27289526,1572527,23676541,78647988,17.2038446,6.8879752000000005,8.947930399999999,1.367939,1.3357522,195404833.03714567,45951967.88745697,0.0,16956967.452496056,977125.4054457106,14711957.075571353,48869715.53556116,14666336.790789194,0.0,16953001.656385574,976897.0477680321,14708516.374299265,53254874.959751725,48858286.76922599,45941221.53370299,134751576.8074306,3779317064.6411185,353620309.89197326,2606834501.8609953,2606834501.8609953,888755175.9252758,3834153.526914418,64390083.85605048,283727386.8548474,0.0,327964025.91361403,18898546.415728677,284543371.3217699,1030241342.8212938,945187215.388589,83158378.79721002,0.0,30686692.81194228,1768284.761981031,26623941.380160164,88438569.72940177,219730019.69252816,51672349.40858365,0.0,19067874.29128853,1098763.9417283053,16543391.315794153,54953316.09815314,16492091.9394289,0.0,19063414.808665153,1098507.1566926776,16539522.295020608,59884366.940939106,54940464.60920654,51660265.28310281,151526275.8105241
