country,city,line,phase,start_year,end_year,is_regional_rail,length_km,tunnel_pct,tunnel_km,num_stations,is_anglo,ppp_rate,real_cost_2023_musd,cost_per_km_2023_musd
CN,Hangzhou,Line 4,Line 4 Phase 1,2013.0,,0.0,20.8,1.0,20.8,18.0,0.0,0.273,5124.0586035191045,246.34897132303388
CN,Hangzhou,Line 2,Line 2 Phase 2,2014.0,,0.0,11.281,1.0,11.281,9.0,0.0,0.266,2704.703901392268,239.75745956850173
CN,Hangzhou,Line 2,Line 2 Phase 1 (redesign),2017.0,,0.0,30.5,1.0,30.5,24.0,0.0,0.239,5283.2296188560695,173.22064324118261
CN,Hangzhou,Line 5,Line 5 Phase 2 West,2020.0,,0.0,4.95,1.0,4.95,2.0,0.0,0.239,854.8270265328755,172.6923285925001
CN,Hangzhou,Line 10,Line 10 Phase 2,2022.0,,0.0,13.33,1.0,13.33,10.0,0.0,0.239000000000001,2824.047899117995,211.85655657299284
CN,Harbin,Line 1,Line 1 Phase 1,2005.0,,0.0,14.4,1.0,14.4,16.0,0.0,0.352,3234.677739682539,224.6303985890652
CN,Harbin,Line 1,Line 1 Phase 4,2016.0,,0.0,2.6,1.0,2.6,2.0,0.0,0.251,557.6518747369869,214.48149028345648
CN,Harbin,Line 2,Line 2 Phase 2 North and South Ext,2016.0,,0.0,14.1,1.0,14.1,11.0,0.0,0.251,2788.2593736849344,197.74889175070456
CN,Harbin,Line 4,Line 4 Phase 1,2016.0,,0.0,32.2,1.0,32.2,27.0,0.0,0.251,7571.319167857605,235.13413564775166
CN,Harbin,Line 5,Line 5 Phase 1,2016.0,,0.0,36.1,1.0,36.1,25.0,0.0,0.251,7083.772100230411,196.2263739676014
CN,Harbin,Line 2,Line 2 Phase 1,2021.0,,0.0,28.7,1.0,28.7,19.0,0.0,0.239,5506.194647614127,191.85347204230408
CN,Harbin,Line 3,Line 3 Phase 2,2021.0,,0.0,32.18,1.0,32.2,31.0,0.0,0.239,7175.683184854412,222.9858043770793
CN,Hefei,Line 1,Line 1 Phase 1+2,2012.0,2016.0,0.0,24.58,1.0,24.58,26.0,0.0,0.2808,6147.38653934162,250.09709273155497
CN,Hefei,Line 3,Line 3 Phase 1,2014.0,2019.0,0.0,37.2,0.89,32.97,33.0,0.0,0.239,7754.757887385769,208.4612335318755
CN,Hefei,Line 4,Line 4 Phase 1,2015.0,2020.0,0.0,36.0,1.0,36.0,28.0,0.0,0.266,8315.766210242633,230.99350584007317
CN,Hefei,Line 2,Line 2 Eastern Extension,2020.0,2024.0,0.0,14.5,1.0,14.5,11.0,0.0,0.239,2729.9314718307955,188.27113598833074
CN,Hefei,Line 3,Line 3 Southern Extension,2020.0,2024.0,0.0,11.25,1.0,11.25,8.0,0.0,0.239,2561.385919199725,227.67874837330888
CN,Hefei,Hefei-Lu'an Regional Express Line,Hefei-Lu'an Regional Express Line,2018.0,,0.0,63.1,0.19,11.94,19.0,0.0,0.239,6243.782659237823,98.95059681834901
CN,Hefei,Line 1,Line 1 South,2019.0,,0.0,4.54,1.0,4.54,3.0,0.0,0.238,1207.5308187610742,265.9759512689591
CN,Hefei,Line 5,Line 5 Phase 1,2020.0,,0.0,40.22,1.0,40.22,33.0,0.0,0.239,8620.865845593891,214.342760954597
